sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,var,beta,hl,hrf,max,cpp,apprate,ratio,m_1,m_2,m_3,m_4,m_5
Business,Business Checking - New Checking Customers,Magazine,Small Business,General Market,National,tmg_smbz_spd,82.81924306,1,0.45,533106.9741,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Magazine,Traffic Driving,General Market,National,tmg_trfc_spd,310.7766165,1,0.3,337552.2133,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Newspaper,Small Business,General Market,National,tnp_smbz_spd,145.7183058,0.3,0.3,940787.0916,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Newspaper,Traffic Driving,General Market,National,tnp_trfc_spd,135.5034408,0.3,0.15,770207.3998,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Online Banner,Brand,General Market,National,odp_nv_brd_imp,328.1144335,0.6,0.15,237308965,0.004969707,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Online Banner,Small Business,General Market,National,odp_nv_smb_imp,183.6272925,0.6,0.45,180025179,0.005644797,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Online Social,Brand,General Market,National,odp_sc_brd_spd,194.8407987,0.6,0.15,619644.4444,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Online Social,Small Business,General Market,National,odp_sc_smb_spd,98.84772197,0.6,0.45,172795.41,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Online Video,Deposits,General Market,National,odp_vd_dep_imp,235.8926561,1,0.15,101199898,0.012153508,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Online Video,Small Business,General Market,National,odp_vd_smb_imp,126.5640737,1,0.45,14830172,0.026635957,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Outdoor,Small Business,General Market,National,toh_smbz_spd,229.1308349,1,0.15,415969.8772,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Paid Search,Small Business,General Market,National,ops_smb_tl_tl_clk,134.8717504,0.01,0.45,14591,8.714527877,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Radio,Small Business,General Market,National,trd_smbz_spd,180.6310581,0.6,0.3,540156.9207,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Television,Brand,Diverse Segment,National,ttv_ds_brnd_spd,121.9804962,1,0.3,1164438.693,1,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Television,Brand,General Market,National,ttv_brnd_trp,559.8669694,3,0.15,383.4,33818.11378,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Television,Deposits,General Market,National,ttv_dpst_trp,462.4821347,4,0.15,675.36,27396.33723,1,1,1,344,867,1162,1683
Business,Business Checking - New Checking Customers,Television,Small Business,General Market,National,ttv_smbz_trp,2224.352082,2,0.15,253.82,28701.67614,1,1,1,344,867,1162,1683
Business,Business Direct - Direct Channel,Newspaper,Traffic Driving,General Market,National,tnp_trfc_spd,225.3552653,0.6,0.45,770207.3998,1,1,1,0.3,265,661,902,1516
Business,Business Direct - Direct Channel,Online Display,Traffic Driving,General Market,National,odp_tl_tdr_imp,139.7180324,0.6,0.45,380301384,0.002878022,0.3,1,0.3,265,661,902,1516
Business,Business Direct - Direct Channel,Radio,Brand,General Market,National,trd_brnd_spd,95.16341545,0.6,0.3,932153.265,1,0.3,1,0.3,265,661,902,1516
