sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name,factor_1,factor_2,factor_3
Consumer Deposits,Consumer Checking - New Checking Customers,Television,General Market,Deposits,National,5,0.15,141.33,29371.62418,1,3797.4202,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Outdoor,General Market,Deposits,National,1,0.15,1072149.405,1,1,904.9416493,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Online Display,General Market,Deposits,National,0.6,0.15,1661893.244,1,1,1637.512499,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Paid Search,General Market,Deposits,National,0.3,0.15,255840.54,1,1,528.1182718,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Television,General Market,Brand,National,5,0.3,134.59,34785.33651,1,2186.141408,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Radio,General Market,Brand,National,0.6,0.45,700242.9861,1,1,358.694956,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Online Display,General Market,Brand,National,0.6,0.3,2442528.591,1,1,773.6920996,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Television,Diverse Segment,Brand,National,1,0.45,1164438.693,1,1,713.3773107,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Radio,Diverse Segment,Brand,National,0.3,0.6,228869,1,1,201.0889631,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Newspaper,Diverse Segment,Brand,National,0.6,0.45,3530113,0.087678219,1,151.5766877,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Radio,General Market,Traffic Driving,National,0.6,0.3,2147885.081,1,1,2519.513839,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Online Display,General Market,Traffic Driving,National,0.3,0.15,380301384,0.002042718,1,1702.401699,weekly,312,423,582
Consumer Deposits,Consumer Checking - New Checking Customers,Newspaper,Diverse Segment,Remittance,National,0.3,0.3,1717298,0.055943665,1,143.3413388,weekly,312,423,582
