"chan3_id","chan2_id","chan1_id","dma1_id","chan3_name","chan2_name","chan1_name","dma1_name","bdgt_id","cps"
209,174,236,1,"Newspaper","Diverse Segment","Brand","National","209_174_236_1",""
208,174,236,1,"Radio","Diverse Segment","Brand","National","208_174_236_1",""
205,174,236,1,"Television","Diverse Segment","Brand","National","205_174_236_1",""
209,173,236,1,"Newspaper","General Market","Brand","National","209_173_236_1",""
207,173,236,1,"Online Display","General Market","Brand","National","207_173_236_1",""
206,173,236,1,"Outdoor","General Market","Brand","National","206_173_236_1",""
208,173,236,1,"Radio","General Market","Brand","National","208_173_236_1",""
205,173,236,1,"Television","General Market","Brand","National","205_173_236_1",""
211,4,247,1,"Direct Mail Xsell/Recap","Direct Mail","Business Direct Credit","National","211_4_247_1",""
210,4,246,1,"Direct Mail Acq/Prosp","Direct Mail","Business Direct Lines","National","210_4_246_1",""
211,4,246,1,"Direct Mail Xsell/Recap","Direct Mail","Business Direct Lines","National","211_4_246_1",""
211,4,240,1,"Direct Mail Xsell/Recap","Direct Mail","Core Credit Card","National","211_4_240_1",""
212,4,240,1,"Mortgage Inserts","Direct Mail","Core Credit Card","National","212_4_240_1",""
210,4,235,1,"Direct Mail Acq/Prosp","Direct Mail","Deposits","National","210_4_235_1",""
211,4,235,1,"Direct Mail Xsell/Recap","Direct Mail","Deposits","National","211_4_235_1",""
209,173,235,1,"Newspaper","General Market","Deposits","National","209_173_235_1",""
207,173,235,1,"Online Display","General Market","Deposits","National","207_173_235_1",""
206,173,235,1,"Outdoor","General Market","Deposits","National","206_173_235_1",""
2,173,235,1,"Paid Search","General Market","Deposits","National","2_173_235_1",""
208,173,235,1,"Radio","General Market","Deposits","National","208_173_235_1",""
205,173,235,1,"Television","General Market","Deposits","National","205_173_235_1",""
211,4,243,1,"Direct Mail Xsell/Recap","Direct Mail","Home Equity","National","211_4_243_1",""
211,4,242,1,"Direct Mail Xsell/Recap","Direct Mail","Lines & Loans","National","211_4_242_1",""
208,174,239,1,"Radio","Diverse Segment","Mortgage","National","208_174_239_1",""
207,173,239,1,"Online Display","General Market","Mortgage","National","207_173_239_1",""
2,173,239,1,"Paid Search","General Market","Mortgage","National","2_173_239_1",""
208,173,239,1,"Radio","General Market","Mortgage","National","208_173_239_1",""
205,173,239,1,"Television","General Market","Mortgage","National","205_173_239_1",""
210,4,251,1,"Direct Mail Acq/Prosp","Direct Mail","Purchase Mortgage","National","210_4_251_1",""
210,4,252,1,"Direct Mail Acq/Prosp","Direct Mail","Refi Mortgage","National","210_4_252_1",""
211,4,252,1,"Direct Mail Xsell/Recap","Direct Mail","Refi Mortgage","National","211_4_252_1",""
209,174,238,1,"Newspaper","Diverse Segment","Remittance","National","209_174_238_1",""
210,4,245,1,"Direct Mail Acq/Prosp","Direct Mail","SMB Deposits","National","210_4_245_1",""
211,4,245,1,"Direct Mail Xsell/Recap","Direct Mail","SMB Deposits","National","211_4_245_1",""
9,173,244,1,"Magazine","General Market","Small Business","National","9_173_244_1",""
209,173,244,1,"Newspaper","General Market","Small Business","National","209_173_244_1",""
207,173,244,1,"Online Display","General Market","Small Business","National","207_173_244_1",""
206,173,244,1,"Outdoor","General Market","Small Business","National","206_173_244_1",""
208,173,244,1,"Radio","General Market","Small Business","National","208_173_244_1",""
205,173,244,1,"Television","General Market","Small Business","National","205_173_244_1",""
211,4,241,1,"Direct Mail Xsell/Recap","Direct Mail","Student Credit Card","National","211_4_241_1",""
9,173,237,1,"Magazine","General Market","Traffic Driving","National","9_173_237_1",""
209,173,237,1,"Newspaper","General Market","Traffic Driving","National","209_173_237_1",""
207,173,237,1,"Online Display","General Market","Traffic Driving","National","207_173_237_1",""
206,173,237,1,"Outdoor","General Market","Traffic Driving","National","206_173_237_1",""
208,173,237,1,"Radio","General Market","Traffic Driving","National","208_173_237_1",""
205,173,237,1,"Television","General Market","Traffic Driving","National","205_173_237_1",""
210,4,250,1,"Direct Mail Acq/Prosp","Direct Mail","WBR","National","210_4_250_1",""
9,173,248,1,"Magazine","General Market","WBR Brokerage","National","9_173_248_1",""
209,173,248,1,"Newspaper","General Market","WBR Brokerage","National","209_173_248_1",""
207,173,248,1,"Online Display","General Market","WBR Brokerage","National","207_173_248_1",""
2,173,248,1,"Paid Search","General Market","WBR Brokerage","National","2_173_248_1",""
205,173,248,1,"Television","General Market","WBR Brokerage","National","205_173_248_1",""
9,173,249,1,"Magazine","General Market","WBR Retirement","National","9_173_249_1",""
207,173,249,1,"Online Display","General Market","WBR Retirement","National","207_173_249_1",""
2,173,249,1,"Paid Search","General Market","WBR Retirement","National","2_173_249_1",""
205,173,249,1,"Television","General Market","WBR Retirement","National","205_173_249_1",""
