"dma1_id","chan1_id","chan2_id","chan3_id","sales2_id","sales1_id"
"National","Brand","Diverse Segment","Newspaper","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Brand","Diverse Segment","Newspaper","Refi Mortgage - Existing WF Customers","Mortgage"
"National","Brand","Diverse Segment","Newspaper","Refi Mortgage - New WF Customers","Mortgage"
"National","Brand","Diverse Segment","Radio","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Brand","Diverse Segment","Television","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Brand","General Market","Newspaper","Business Direct - Store Channel","Business"
"National","Brand","General Market","Newspaper","Purchase Mortgage - Existing WF Customers","Mortgage"
"National","Brand","General Market","Newspaper","Refi Mortgage - Existing WF Customers","Mortgage"
"National","Brand","General Market","Newspaper","Refi Mortgage - New WF Customers","Mortgage"
"National","Brand","General Market","Online Display","Business Checking - New Checking Customers","Business"
"National","Brand","General Market","Online Display","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Brand","General Market","Online Display","Credit Card - Secured","Credit Card"
"National","Brand","General Market","Online Display","Credit Card - Student","Credit Card"
"National","Brand","General Market","Online Display","Personal Lines & Loans","Lines & Loans"
"National","Brand","General Market","Online Display","WIM - Non-retirement","WIM"
"National","Brand","General Market","Online Display","WIM - Retirement","WIM"
"National","Brand","General Market","Outdoor","Credit Card - Core","Credit Card"
"National","Brand","General Market","Radio","Business Direct - Direct Channel","Business"
"National","Brand","General Market","Radio","Business Direct - Store Channel","Business"
"National","Brand","General Market","Radio","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Brand","General Market","Radio","Credit Card - Core","Credit Card"
"National","Brand","General Market","Radio","Credit Card - Secured","Credit Card"
"National","Brand","General Market","Radio","Credit Card - Student","Credit Card"
"National","Brand","General Market","Radio","Home Equity","Home Equity"
"National","Brand","General Market","Radio","Purchase Mortgage - Existing WF Customers","Mortgage"
"National","Brand","General Market","Radio","Purchase Mortgage - New WF Customers","Mortgage"
"National","Brand","General Market","Radio","Refi Mortgage - New WF Customers","Mortgage"
"National","Brand","General Market","Radio","WIM - Non-retirement","WIM"
"National","Brand","General Market","Television","Business Checking - New Checking Customers","Business"
"National","Brand","General Market","Television","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Brand","General Market","Television","Credit Card - Secured","Credit Card"
"National","Brand","General Market","Television","Credit Card - Student","Credit Card"
"National","Brand","General Market","Television","Personal Lines & Loans","Lines & Loans"
"National","Brand","General Market","Television","Refi Mortgage - Existing WF Customers","Mortgage"
"National","Brand","General Market","Television","WIM - Retirement","WIM"
"National","Business Direct Credit","Direct Mail","Direct Mail Xsell/Recap","Business Direct - Direct Channel","Business"
"National","Business Direct Lines","Direct Mail","Direct Mail Acq/Prosp","Business Direct - Direct Channel","Business"
"National","Business Direct Lines","Direct Mail","Direct Mail Xsell/Recap","Business Direct - Direct Channel","Business"
"National","Core Credit Card","Direct Mail","Direct Mail Xsell/Recap","Credit Card - Core","Credit Card"
"National","Core Credit Card","Direct Mail","Mortgage Inserts","Credit Card - Core","Credit Card"
"National","Deposits","Direct Mail","Direct Mail Acq/Prosp","Consumer Checking - New Checking Customers","Consumer Deposits"
"National","Deposits","Direct Mail","Direct Mail Xsell/Recap","Consumer Checking - New Checking Customers","Consumer Deposits"
