bdgt_id,dma1_id.x,chan1_id.x,sales1_id,chan2_id.x,a,b,npv,sp,npv_p,dma1_name,chan1_name,sales1_name,chan2_name,dim,dma1_id.y,chan1_id.y,chan2_id.y,cpp
1_1_4,1,1,1,4,21.44833025,0.000196693,21.18604651,22390.09302,21.3295514,National,Online Display,Acquisition Bundles,Double Click Banner,National_Online Display_Acquisition Bundles_Double Click Banner,1,1,4,1
1_1_4,1,1,2,4,61.53525609,1.96E-05,21.88372093,22390.09302,21.01218027,National,Online Display,Cross-Sell Mobile,Double Click Banner,National_Online Display_Cross-Sell Mobile_Double Click Banner,1,1,4,1
1_1_4,1,1,4,4,7.363915065,8.01E-05,6.139534884,22390.09302,6.193900492,National,Online Display,Acquisition DTV - TV only,Double Click Banner,National_Online Display_Acquisition DTV - TV only_Double Click Banner,1,1,4,1
1_1_4,1,1,5,4,9.789249632,0.000152205,9.465116279,22390.09302,9.601391628,National,Online Display,Up-Sell Whop to Whoppa,Double Click Banner,National_Online Display_Up-Sell Whop to Whoppa_Double Click Banner,1,1,4,1
1_1_5,1,1,3,5,29.74169636,0.000344781,28.74418605,9846.953488,28.81434407,National,Online Display,Acquisition Internet Only,Double Click Video,National_Online Display_Acquisition Internet Only_Double Click Video,1,1,5,1
1_1_5,1,1,5,5,4.067353187,0.000237343,3.674418605,9846.953488,3.715918546,National,Online Display,Up-Sell Whop to Whoppa,Double Click Video,National_Online Display_Up-Sell Whop to Whoppa_Double Click Video,1,1,5,1
1_10_2,1,10,2,2,167.9172189,1.01E-05,53.65116279,38043.55814,51.49995963,National,Direct Marketing,Cross-Sell Mobile,Cross Sell,National_Direct Marketing_Cross-Sell Mobile_Cross Sell,1,10,2,1
1_10_3,1,10,5,3,45.63296033,3.95E-05,16.8372093,11664.18605,16.54555443,National,Direct Marketing,Up-Sell Whop to Whoppa,Upsell,National_Direct Marketing_Up-Sell Whop to Whoppa_Upsell,1,10,3,1
1_2_2,1,2,2,2,192.2342532,0.000313087,84.20930233,9204.348837,81.97230534,National,Outbound Calls,Cross-Sell Mobile,Cross Sell,National_Outbound Calls_Cross-Sell Mobile_Cross Sell,1,2,2,5
1_2_3,1,2,5,3,23.28934273,0.000108194,7.813953488,18889.37209,7.734360773,National,Outbound Calls,Up-Sell Whop to Whoppa,Upsell,National_Outbound Calls_Up-Sell Whop to Whoppa_Upsell,1,2,3,5
1_2_6,1,2,1,6,63.18107353,0.000294169,4.372093023,1218.860465,4.263466467,National,Outbound Calls,Acquisition Bundles,Acquisition,National_Outbound Calls_Acquisition Bundles_Acquisition,1,2,6,5
1_2_6,1,2,3,6,2.490838563,0.001623161,0.813953488,1218.860465,0.782419527,National,Outbound Calls,Acquisition Internet Only,Acquisition,National_Outbound Calls_Acquisition Internet Only_Acquisition,1,2,6,5
1_2_6,1,2,4,6,5.189692679,0.001234675,1.348837209,1218.860465,1.313422254,National,Outbound Calls,Acquisition DTV - TV only,Acquisition,National_Outbound Calls_Acquisition DTV - TV only_Acquisition,1,2,6,5
1_3_1,1,3,1,1,93.93714362,3.24E-05,54.60465116,26899.88372,53.90242104,National,Outdoor,Acquisition Bundles,Connectivity,National_Outdoor_Acquisition Bundles_Connectivity,1,3,1,1
1_3_1,1,3,2,1,186.0199126,1.50E-05,61.81395349,26899.88372,58.99245925,National,Outdoor,Cross-Sell Mobile,Connectivity,National_Outdoor_Cross-Sell Mobile_Connectivity,1,3,1,1
